Date,time,Out Temp.,Out hum.,Wind Dir.,Wind speed,SL Pressure,In T.,Today rain
01-08-2021,21:25,25.9,41%,202 (S),4.8 km/h,1013.3 hpa,29.2º,0.0 mm
01-08-2021,21:20,26.1,41%,247(SW),6.4 km/h,1013.2 hpa,29.2º,0.0 mm
01-08-2021,21:15,26.3,41%,247(SW),6.4 km/h,1013.1 hpa,29.2º,0.0 mm
01-08-2021,21:10,26.4,41%,225(SW),4.8 km/h,1013.0 hpa,29.2º,0.0 mm
01-08-2021,21:05,26.6,41%,225(SW),4.8 km/h,1012.9 hpa,29.2º,0.0 mm
01-08-2021,21:00,26.8,40%,247(SW),4.8 km/h,1012.7 hpa,29.3º,0.0 mm
01-08-2021,20:55,27.1,40%,247(SW),8.0 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:50,27.3,41%,225(SW),4.8 km/h,1012.7 hpa,29.3º,0.0 mm
01-08-2021,20:45,27.4,41%,292 (W),4.8 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:40,27.5,41%,247(SW),6.4 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:35,27.6,41%,247(SW),4.8 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,20:30,27.7,41%,225(SW),8.0 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:25,27.8,43%,202 (S),4.8 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:20,27.8,42%,225(SW),6.4 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:15,27.9,42%,045(NE),4.8 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,20:10,28.0,40%,202 (S),6.4 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,20:05,28.2,39%,225(SW),4.8 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,20:00,28.4,37%,202 (S),6.4 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,19:55,28.6,37%,157(SE),4.8 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:50,28.7,37%,225(SW),6.4 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:45,28.8,36%,202 (S),6.4 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:40,28.9,36%,090 (E),6.4 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,19:35,29.1,35%,045(NE),6.4 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:30,29.2,35%,180 (S),6.4 km/h,1012.8 hpa,29.3º,0.0 mm
01-08-2021,19:25,29.3,34%,225(SW),9.7 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:20,29.4,35%,225(SW),6.4 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:15,29.3,34%,202 (S),9.7 km/h,1012.9 hpa,29.3º,0.0 mm
01-08-2021,19:10,29.3,34%,022 (N),6.4 km/h,1013.1 hpa,29.3º,0.0 mm
01-08-2021,19:05,29.4,34%,045(NE),8.0 km/h,1013.2 hpa,29.3º,0.0 mm
01-08-2021,19:00,29.4,34%,045(NE),6.4 km/h,1013.0 hpa,29.3º,0.0 mm
01-08-2021,18:55,29.4,34%,180 (S),9.7 km/h,1013.3 hpa,29.3º,0.0 mm
01-08-2021,18:50,29.6,34%,202 (S),9.7 km/h,1013.2 hpa,29.3º,0.0 mm
01-08-2021,18:45,29.6,34%,022 (N),8.0 km/h,1013.3 hpa,29.3º,0.0 mm
01-08-2021,18:40,29.7,34%,022 (N),8.0 km/h,1013.2 hpa,29.2º,0.0 mm
01-08-2021,18:35,29.6,34%,067(NE),9.7 km/h,1013.3 hpa,29.2º,0.0 mm
01-08-2021,18:30,29.6,33%,067(NE),8.0 km/h,1013.3 hpa,29.2º,0.0 mm
01-08-2021,18:25,29.6,33%,045(NE),9.7 km/h,1013.4 hpa,29.2º,0.0 mm
01-08-2021,18:20,29.6,33%,337(NW),8.0 km/h,1013.4 hpa,29.2º,0.0 mm
01-08-2021,18:15,29.3,33%,022 (N),8.0 km/h,1013.4 hpa,29.1º,0.0 mm
01-08-2021,18:10,29.3,33%,045(NE),9.7 km/h,1013.4 hpa,29.1º,0.0 mm
01-08-2021,18:05,29.5,33%,022 (N),8.0 km/h,1013.5 hpa,29.1º,0.0 mm
01-08-2021,18:00,29.4,34%,045(NE),6.4 km/h,1013.5 hpa,29.1º,0.0 mm
01-08-2021,17:55,29.3,34%,067(NE),9.7 km/h,1013.6 hpa,29.1º,0.0 mm
01-08-2021,17:50,29.4,34%,045(NE),9.7 km/h,1013.7 hpa,28.9º,0.0 mm
01-08-2021,17:45,29.6,33%,067(NE),8.0 km/h,1013.7 hpa,28.9º,0.0 mm
01-08-2021,17:40,29.7,33%,180 (S),8.0 km/h,1013.7 hpa,28.9º,0.0 mm
01-08-2021,17:35,30.1,32%,045(NE),6.4 km/h,1013.7 hpa,28.9º,0.0 mm
01-08-2021,17:30,30.2,32%,045(NE),6.4 km/h,1013.6 hpa,28.8º,0.0 mm
01-08-2021,17:25,30.7,31%,045(NE),6.4 km/h,1013.6 hpa,28.8º,0.0 mm
01-08-2021,17:20,30.9,29%,180 (S),4.8 km/h,1013.6 hpa,28.7º,0.0 mm
01-08-2021,17:15,30.9,28%,225(SW),4.8 km/h,1013.7 hpa,28.7º,0.0 mm
01-08-2021,17:10,30.9,28%,247(SW),4.8 km/h,1013.7 hpa,28.6º,0.0 mm
01-08-2021,17:05,30.9,28%,135(SE),4.8 km/h,1013.7 hpa,28.5º,0.0 mm
01-08-2021,17:00,30.6,28%,180 (S),4.8 km/h,1013.7 hpa,28.5º,0.0 mm
01-08-2021,16:55,30.6,28%,202 (S),4.8 km/h,1013.8 hpa,28.4º,0.0 mm
01-08-2021,16:50,30.7,28%,202 (S),4.8 km/h,1013.8 hpa,28.3º,0.0 mm
01-08-2021,16:45,30.5,28%,225(SW),3.2 km/h,1013.8 hpa,28.2º,0.0 mm
01-08-2021,16:40,30.2,29%,045(NE),4.8 km/h,1013.8 hpa,28.1º,0.0 mm
01-08-2021,16:35,30.3,29%,112 (E),6.4 km/h,1013.9 hpa,28.1º,0.0 mm
01-08-2021,16:30,30.0,29%,090 (E),6.4 km/h,1014.1 hpa,28.2º,0.0 mm
01-08-2021,16:25,30.1,30%,067(NE),4.8 km/h,1014.1 hpa,28.3º,0.0 mm
01-08-2021,16:20,29.6,32%,157(SE),4.8 km/h,1014.0 hpa,28.4º,0.0 mm
01-08-2021,16:15,28.9,33%,112 (E),9.7 km/h,1014.0 hpa,28.6º,0.0 mm
01-08-2021,16:10,29.3,32%,090 (E),9.7 km/h,1014.2 hpa,28.7º,0.0 mm
01-08-2021,16:05,29.7,32%,112 (E),4.8 km/h,1014.3 hpa,28.8º,0.0 mm
01-08-2021,16:00,29.7,33%,225(SW),6.4 km/h,1014.3 hpa,29.1º,0.0 mm
01-08-2021,15:55,29.8,33%,067(NE),6.4 km/h,1014.5 hpa,29.3º,0.0 mm
01-08-2021,15:50,29.8,33%,090 (E),4.8 km/h,1014.5 hpa,29.4º,0.0 mm
01-08-2021,15:45,29.8,31%,225(SW),6.4 km/h,1014.6 hpa,29.4º,0.0 mm
01-08-2021,15:40,29.9,32%,112 (E),4.8 km/h,1014.6 hpa,29.4º,0.0 mm
01-08-2021,15:35,29.9,32%,247(SW),4.8 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:30,29.9,31%,247(SW),4.8 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:25,29.8,24%,270 (W),1.6 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:20,29.8,26%,270 (W),4.8 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:15,30.1,26%,270 (W),6.4 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:10,29.8,28%,-,0.0 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:05,29.6,28%,135(SE),1.6 km/h,1014.7 hpa,29.4º,0.0 mm
01-08-2021,15:00,29.3,29%,247(SW),1.6 km/h,1014.8 hpa,29.4º,0.0 mm
01-08-2021,14:55,28.9,29%,247(SW),3.2 km/h,1014.8 hpa,29.4º,0.0 mm
01-08-2021,14:50,28.8,29%,067(NE),1.6 km/h,1014.9 hpa,29.4º,0.0 mm
01-08-2021,14:45,29.1,29%,045(NE),1.6 km/h,1014.9 hpa,29.4º,0.0 mm
01-08-2021,14:40,28.9,29%,315(NW),3.2 km/h,1014.9 hpa,29.4º,0.0 mm
01-08-2021,14:35,28.8,30%,270 (W),3.2 km/h,1014.9 hpa,29.4º,0.0 mm
01-08-2021,14:30,28.7,30%,000 (N),3.2 km/h,1015.0 hpa,29.4º,0.0 mm
01-08-2021,14:25,28.7,30%,337(NW),4.8 km/h,1015.2 hpa,29.4º,0.0 mm
01-08-2021,14:20,28.7,29%,292 (W),4.8 km/h,1015.2 hpa,29.4º,0.0 mm
01-08-2021,14:15,28.6,30%,270 (W),3.2 km/h,1015.2 hpa,29.4º,0.0 mm
01-08-2021,14:10,28.5,31%,292 (W),3.2 km/h,1015.3 hpa,29.4º,0.0 mm
01-08-2021,14:05,28.5,31%,000 (N),3.2 km/h,1015.3 hpa,29.4º,0.0 mm
01-08-2021,14:00,28.4,31%,247(SW),1.6 km/h,1015.4 hpa,29.4º,0.0 mm
01-08-2021,13:55,28.1,31%,337(NW),1.6 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,13:50,28.1,33%,337(NW),3.2 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,13:45,28.0,33%,270 (W),4.8 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,13:40,27.8,33%,000 (N),3.2 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,13:35,27.4,34%,067(NE),3.2 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,13:30,27.5,34%,315(NW),1.6 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,13:25,27.3,34%,315(NW),1.6 km/h,1015.6 hpa,29.3º,0.0 mm
01-08-2021,13:20,27.3,34%,315(NW),3.2 km/h,1015.6 hpa,29.3º,0.0 mm
01-08-2021,13:15,27.2,34%,292 (W),3.2 km/h,1015.7 hpa,29.3º,0.0 mm
01-08-2021,13:10,27.2,34%,315(NW),3.2 km/h,1015.8 hpa,29.3º,0.0 mm
01-08-2021,13:05,27.2,34%,000 (N),3.2 km/h,1015.8 hpa,29.3º,0.0 mm
01-08-2021,13:00,27.2,35%,-,0.0 km/h,1015.8 hpa,29.3º,0.0 mm
01-08-2021,12:55,26.9,36%,-,0.0 km/h,1015.8 hpa,29.3º,0.0 mm
01-08-2021,12:50,26.8,36%,000 (N),1.6 km/h,1015.8 hpa,29.3º,0.0 mm
01-08-2021,12:45,26.6,38%,337(NW),1.6 km/h,1015.8 hpa,29.3º,0.0 mm
01-08-2021,12:40,26.3,37%,337(NW),1.6 km/h,1015.9 hpa,29.3º,0.0 mm
01-08-2021,12:35,26.3,37%,157(SE),1.6 km/h,1015.9 hpa,29.3º,0.0 mm
01-08-2021,12:30,26.3,37%,090 (E),1.6 km/h,1016.1 hpa,29.3º,0.0 mm
01-08-2021,12:25,26.2,37%,090 (E),1.6 km/h,1016.1 hpa,29.3º,0.0 mm
01-08-2021,12:20,26.3,37%,-,0.0 km/h,1016.2 hpa,29.3º,0.0 mm
01-08-2021,12:15,26.2,38%,090 (E),1.6 km/h,1016.2 hpa,29.3º,0.0 mm
01-08-2021,12:10,26.0,39%,-,0.0 km/h,1016.2 hpa,29.3º,0.0 mm
01-08-2021,12:05,25.6,39%,-,0.0 km/h,1016.3 hpa,29.3º,0.0 mm
01-08-2021,12:00,25.1,40%,090 (E),1.6 km/h,1016.3 hpa,29.3º,0.0 mm
01-08-2021,11:55,24.9,41%,-,0.0 km/h,1016.3 hpa,29.2º,0.0 mm
01-08-2021,11:50,24.7,41%,090 (E),1.6 km/h,1016.4 hpa,29.2º,0.0 mm
01-08-2021,11:45,24.6,42%,067(NE),1.6 km/h,1016.4 hpa,29.3º,0.0 mm
01-08-2021,11:40,24.4,42%,067(NE),1.6 km/h,1016.3 hpa,29.3º,0.0 mm
01-08-2021,11:35,24.2,43%,067(NE),3.2 km/h,1016.3 hpa,29.3º,0.0 mm
01-08-2021,11:30,24.1,43%,045(NE),1.6 km/h,1016.4 hpa,29.3º,0.0 mm
01-08-2021,11:25,24.3,42%,000 (N),1.6 km/h,1016.4 hpa,29.3º,0.0 mm
01-08-2021,11:20,24.1,44%,000 (N),1.6 km/h,1016.5 hpa,29.3º,0.0 mm
01-08-2021,11:15,23.7,45%,022 (N),1.6 km/h,1016.6 hpa,29.2º,0.0 mm
01-08-2021,11:10,23.3,46%,022 (N),3.2 km/h,1016.5 hpa,29.2º,0.0 mm
01-08-2021,11:05,23.1,46%,045(NE),1.6 km/h,1016.4 hpa,29.2º,0.0 mm
01-08-2021,11:00,22.8,46%,022 (N),3.2 km/h,1016.3 hpa,29.2º,0.0 mm
01-08-2021,10:55,22.9,46%,022 (N),1.6 km/h,1016.5 hpa,29.2º,0.0 mm
01-08-2021,10:50,22.9,46%,045(NE),3.2 km/h,1016.3 hpa,29.2º,0.0 mm
01-08-2021,10:45,22.8,46%,022 (N),1.6 km/h,1016.3 hpa,29.2º,0.0 mm
01-08-2021,10:40,22.5,47%,022 (N),1.6 km/h,1016.3 hpa,29.2º,0.0 mm
01-08-2021,10:35,22.5,46%,045(NE),4.8 km/h,1016.3 hpa,29.2º,0.0 mm
01-08-2021,10:30,22.6,47%,067(NE),3.2 km/h,1016.4 hpa,29.2º,0.0 mm
01-08-2021,10:25,22.5,46%,067(NE),3.2 km/h,1016.5 hpa,29.1º,0.0 mm
01-08-2021,10:20,22.3,47%,022 (N),1.6 km/h,1016.5 hpa,29.1º,0.0 mm
01-08-2021,10:15,22.2,46%,022 (N),3.2 km/h,1016.4 hpa,29.1º,0.0 mm
01-08-2021,10:10,22.1,47%,090 (E),1.6 km/h,1016.4 hpa,29.1º,0.0 mm
01-08-2021,10:05,21.8,47%,090 (E),3.2 km/h,1016.5 hpa,29.1º,0.0 mm
01-08-2021,10:00,21.8,47%,045(NE),3.2 km/h,1016.5 hpa,29.1º,0.0 mm
01-08-2021,09:55,21.7,47%,045(NE),3.2 km/h,1016.4 hpa,29.1º,0.0 mm
01-08-2021,09:50,21.7,47%,067(NE),4.8 km/h,1016.2 hpa,29.1º,0.0 mm
01-08-2021,09:45,21.7,48%,067(NE),1.6 km/h,1016.2 hpa,29.1º,0.0 mm
01-08-2021,09:40,21.6,48%,045(NE),1.6 km/h,1016.4 hpa,29.1º,0.0 mm
01-08-2021,09:35,21.4,48%,000 (N),3.2 km/h,1016.4 hpa,28.9º,0.0 mm
01-08-2021,09:30,21.3,49%,000 (N),1.6 km/h,1016.5 hpa,28.9º,0.0 mm
01-08-2021,09:25,20.9,50%,000 (N),1.6 km/h,1016.6 hpa,28.9º,0.0 mm
01-08-2021,09:20,20.7,50%,000 (N),4.8 km/h,1016.5 hpa,28.9º,0.0 mm
01-08-2021,09:15,20.7,50%,000 (N),3.2 km/h,1016.5 hpa,28.9º,0.0 mm
01-08-2021,09:10,20.6,51%,000 (N),3.2 km/h,1016.5 hpa,28.8º,0.0 mm
01-08-2021,09:05,20.5,50%,000 (N),3.2 km/h,1016.5 hpa,28.8º,0.0 mm
01-08-2021,09:00,20.3,51%,000 (N),1.6 km/h,1016.4 hpa,28.8º,0.0 mm
01-08-2021,08:55,20.2,51%,000 (N),3.2 km/h,1016.3 hpa,28.8º,0.0 mm
01-08-2021,08:50,20.2,50%,000 (N),6.4 km/h,1016.3 hpa,28.7º,0.0 mm
01-08-2021,08:45,20.4,50%,000 (N),3.2 km/h,1016.2 hpa,28.7º,0.0 mm
01-08-2021,08:40,20.4,50%,000 (N),3.2 km/h,1016.2 hpa,28.7º,0.0 mm
01-08-2021,08:35,20.2,50%,-,0.0 km/h,1016.1 hpa,28.7º,0.0 mm
01-08-2021,08:30,19.9,51%,000 (N),1.6 km/h,1016.0 hpa,28.7º,0.0 mm
01-08-2021,08:25,19.7,51%,-,0.0 km/h,1016.1 hpa,28.7º,0.0 mm
01-08-2021,08:20,19.5,52%,000 (N),1.6 km/h,1016.0 hpa,28.6º,0.0 mm
01-08-2021,08:15,19.4,52%,000 (N),1.6 km/h,1016.0 hpa,28.6º,0.0 mm
01-08-2021,08:10,19.4,51%,000 (N),1.6 km/h,1016.0 hpa,28.6º,0.0 mm
01-08-2021,08:05,19.2,52%,000 (N),1.6 km/h,1016.0 hpa,28.6º,0.0 mm
01-08-2021,08:00,19.0,52%,000 (N),1.6 km/h,1016.1 hpa,28.6º,0.0 mm
01-08-2021,07:55,18.8,52%,000 (N),1.6 km/h,1015.9 hpa,28.6º,0.0 mm
01-08-2021,07:50,18.8,51%,-,0.0 km/h,1015.8 hpa,28.6º,0.0 mm
01-08-2021,07:45,18.8,51%,-,0.0 km/h,1015.8 hpa,28.7º,0.0 mm
01-08-2021,07:40,18.8,51%,-,0.0 km/h,1015.7 hpa,28.7º,0.0 mm
01-08-2021,07:35,18.9,50%,000 (N),1.6 km/h,1015.8 hpa,28.7º,0.0 mm
01-08-2021,07:30,19.1,50%,-,0.0 km/h,1015.5 hpa,28.7º,0.0 mm
01-08-2021,07:25,19.3,49%,-,0.0 km/h,1015.4 hpa,28.7º,0.0 mm
01-08-2021,07:20,19.5,49%,-,0.0 km/h,1015.5 hpa,28.7º,0.0 mm
01-08-2021,07:15,19.7,49%,-,0.0 km/h,1015.4 hpa,28.7º,0.0 mm
01-08-2021,07:10,19.7,50%,-,0.0 km/h,1015.4 hpa,28.7º,0.0 mm
01-08-2021,07:05,19.7,50%,-,0.0 km/h,1015.4 hpa,28.7º,0.0 mm
01-08-2021,07:00,19.7,50%,000 (N),1.6 km/h,1015.4 hpa,28.7º,0.0 mm
01-08-2021,06:55,19.7,49%,-,0.0 km/h,1015.3 hpa,28.8º,0.0 mm
01-08-2021,06:50,19.6,50%,-,0.0 km/h,1015.2 hpa,28.8º,0.0 mm
01-08-2021,06:45,19.6,50%,-,0.0 km/h,1015.1 hpa,28.8º,0.0 mm
01-08-2021,06:40,19.6,49%,-,0.0 km/h,1015.1 hpa,28.8º,0.0 mm
01-08-2021,06:35,19.6,50%,000 (N),1.6 km/h,1015.1 hpa,28.8º,0.0 mm
01-08-2021,06:30,19.4,50%,-,0.0 km/h,1015.2 hpa,28.8º,0.0 mm
01-08-2021,06:25,19.4,49%,000 (N),1.6 km/h,1015.1 hpa,28.8º,0.0 mm
01-08-2021,06:20,19.4,49%,000 (N),1.6 km/h,1015.1 hpa,28.8º,0.0 mm
01-08-2021,06:15,19.5,48%,000 (N),1.6 km/h,1015.1 hpa,28.9º,0.0 mm
01-08-2021,06:10,19.6,48%,000 (N),1.6 km/h,1015.1 hpa,28.9º,0.0 mm
01-08-2021,06:05,19.6,48%,000 (N),1.6 km/h,1015.1 hpa,28.9º,0.0 mm
01-08-2021,06:00,19.7,48%,-,0.0 km/h,1015.1 hpa,28.9º,0.0 mm
01-08-2021,05:55,19.6,48%,000 (N),1.6 km/h,1015.1 hpa,28.9º,0.0 mm
01-08-2021,05:50,19.6,48%,000 (N),4.8 km/h,1014.9 hpa,28.9º,0.0 mm
01-08-2021,05:45,19.6,48%,292 (W),4.8 km/h,1015.0 hpa,28.9º,0.0 mm
01-08-2021,05:40,19.7,47%,292 (W),3.2 km/h,1015.0 hpa,28.9º,0.0 mm
01-08-2021,05:35,19.7,47%,337(NW),3.2 km/h,1015.1 hpa,28.9º,0.0 mm
01-08-2021,05:30,19.7,48%,337(NW),6.4 km/h,1015.1 hpa,29.1º,0.0 mm
01-08-2021,05:25,19.7,47%,337(NW),3.2 km/h,1015.1 hpa,29.1º,0.0 mm
01-08-2021,05:20,19.9,47%,337(NW),1.6 km/h,1015.2 hpa,29.1º,0.0 mm
01-08-2021,05:15,20.1,47%,337(NW),1.6 km/h,1015.2 hpa,29.1º,0.0 mm
01-08-2021,05:10,20.1,47%,337(NW),3.2 km/h,1015.2 hpa,29.1º,0.0 mm
01-08-2021,05:05,20.1,47%,337(NW),3.2 km/h,1015.1 hpa,29.1º,0.0 mm
01-08-2021,05:00,20.2,46%,337(NW),3.2 km/h,1015.1 hpa,29.1º,0.0 mm
01-08-2021,04:55,20.2,46%,337(NW),4.8 km/h,1015.2 hpa,29.1º,0.0 mm
01-08-2021,04:50,20.3,46%,337(NW),8.0 km/h,1015.3 hpa,29.1º,0.0 mm
01-08-2021,04:45,20.4,46%,315(NW),4.8 km/h,1015.2 hpa,29.1º,0.0 mm
01-08-2021,04:40,20.4,46%,315(NW),4.8 km/h,1015.3 hpa,29.1º,0.0 mm
01-08-2021,04:35,20.6,45%,337(NW),4.8 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,04:30,20.6,45%,315(NW),4.8 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,04:25,20.8,45%,315(NW),3.2 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,04:20,20.8,45%,315(NW),3.2 km/h,1015.3 hpa,29.2º,0.0 mm
01-08-2021,04:15,20.9,45%,337(NW),4.8 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,04:10,20.9,45%,315(NW),4.8 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,04:05,21.0,45%,315(NW),3.2 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,04:00,21.0,45%,315(NW),3.2 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,03:55,21.1,44%,337(NW),1.6 km/h,1015.2 hpa,29.2º,0.0 mm
01-08-2021,03:50,21.1,44%,337(NW),3.2 km/h,1015.3 hpa,29.2º,0.0 mm
01-08-2021,03:45,21.2,44%,337(NW),1.6 km/h,1015.3 hpa,29.2º,0.0 mm
01-08-2021,03:40,21.2,44%,337(NW),4.8 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,03:35,21.3,44%,315(NW),6.4 km/h,1015.3 hpa,29.3º,0.0 mm
01-08-2021,03:30,21.3,43%,292 (W),3.2 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,03:25,21.4,43%,292 (W),3.2 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,03:20,21.5,43%,315(NW),6.4 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,03:15,21.6,43%,315(NW),6.4 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,03:10,21.7,42%,337(NW),6.4 km/h,1015.6 hpa,29.3º,0.0 mm
01-08-2021,03:05,21.8,42%,337(NW),4.8 km/h,1015.6 hpa,29.3º,0.0 mm
01-08-2021,03:00,21.8,41%,270 (W),3.2 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,02:55,21.9,40%,270 (W),1.6 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,02:50,22.0,40%,270 (W),1.6 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,02:45,22.1,39%,270 (W),1.6 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,02:40,22.2,39%,270 (W),3.2 km/h,1015.4 hpa,29.3º,0.0 mm
01-08-2021,02:35,22.4,39%,270 (W),3.2 km/h,1015.5 hpa,29.3º,0.0 mm
01-08-2021,02:30,22.5,38%,292 (W),3.2 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,02:25,22.6,38%,292 (W),1.6 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,02:20,22.7,38%,292 (W),1.6 km/h,1015.6 hpa,29.4º,0.0 mm
01-08-2021,02:15,22.7,38%,292 (W),3.2 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,02:10,22.8,37%,315(NW),3.2 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,02:05,22.8,37%,315(NW),3.2 km/h,1015.4 hpa,29.4º,0.0 mm
01-08-2021,02:00,22.9,37%,315(NW),3.2 km/h,1015.4 hpa,29.4º,0.0 mm
01-08-2021,01:55,23.0,37%,292 (W),4.8 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,01:50,23.1,36%,270 (W),3.2 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,01:45,23.2,36%,247(SW),4.8 km/h,1015.5 hpa,29.4º,0.0 mm
01-08-2021,01:40,23.2,36%,292 (W),6.4 km/h,1015.5 hpa,29.4º,0.0 mm
